228, 44
Sports Field Two, Book Store, 72.59
Sports Field Two, Sports Field One, 48.93
Sports Field Two, Engineering Workshops, 58.09
Sports Field Two, Al Shurfeh Garden, 157.73
Sports Field Two, Sports Field Three, 71.03
Sports Field Three, Engineering Workshops, 128.81
Sports Field Three, Al Shurfeh Garden, 203.99
Sports Field Three, Azeez Shaheen Building, 157.32
Sports Field Three, Physical Education Building, 82.64
Sports Field Three, Sports Field Two, 71.03
Sports Field Three, Sports Field Four, 98.95
Sports Field Three, Sports Field Five, 99.16
Sports Field Four, General Stores And Workshop, 248.74
Sports Field Four, Physical Education Building, 44.91
Sports Field Four, Sports Field Three, 98.95
Sports Field Four, Art Music And Design Building, 165.12
Sports Field Five, Al Shurfeh Garden, 118.05
Sports Field Five, Azeez Shaheen Building, 104.13
Sports Field Five, Physical Education Building, 35.31
Sports Field Five, Women Studies Building, 123.24
Sports Field Five, Sports Field Three, 99.16
West Gate, Faculty Of Science, 89.24
West Gate, Electric Generator, 46.98
West Gate, Student's Council, 67.68
West Gate, Faculty Of Engineering, 73.41
West Gate, General Stores And Workshop, 117.04
Al Juraisey Building, Faculty Of Bussiness and Economics, 57.01
Al Juraisey Building, Graduate Studies Building, 65.75
Al Juraisey Building, Museum, 54.57
Al Juraisey Building, Main Library, 77.84
Al Juraisey Building, Kamal Nasir Hall, 133.68
Services Building, Presidency Building, 81.22
Services Building, Law Building, 35.04
Services Building, Sheikh Rashid Al Maktum Building, 60.35
Services Building, Adminstration Building, 102.34
Services Building, Kamal Nasir Hall, 93.83
Services Building, Al-Sadik Law Building, 125.89
Services Building, Al Shurfeh Garden, 110.47
Al-Sadik Law Building, Services Building, 125.89
Al-Sadik Law Building, Presidency Building, 121.02
Al-Sadik Law Building, Sheikh Rashid Al Maktum Building, 155.20
Al-Sadik Law Building, Al Shurfeh Garden, 123.98
Al-Sadik Law Building, Faculty Of Education(Bamiah), 69.63
Al-Sadik Law Building, Azeez Shaheen Building, 128.01
Art Music And Design Building, Sports Field Four, 165.12
Art Music And Design Building, Faculty Of Nursing And Pharmacy, 126.63
Art Music And Design Building, Pharmaceutical Training Factory, 118.42
North Gate, Faculty Of Information Technology, 94.64
North Gate, Naseeb Shaheen Stage, 109.46
